,Force / N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time / s,9.99g try 1,9.99g try 2,9.99g try 3,20.18 try 1,20.18 try 2,20.18 try 3,30.26 try 1,30.26 try 2,30.26 try 3,40.31 try 1,40.31 try 2,40.31 try 3,50.48 try 1,50.48 try 2,50.48 try 3,60.51 try 1,60.51 try 2,60.51 try 3,70.59 try 1,70.59 try 2,70.59 try 3,80.81 try 1,80.81 try 2,80.81 try 3,91.21 try 1,91.21 try 2,91.21 try 3,100.95 try 1,100.95 try 2,100.95 try 3
0.28,0.4577893563,-0.2324619852,-2.00703793,-2.863351868,-0.4712748108,4.20216974,0.7132532753,-3.262670691,-3.817983991,3.162916886,-0.723324925,4.639498859,-0.6805228243,-1.522457012,0.2935386228,-2.050233423,-1.058779656,0.1163550731,0.05249608523,1.84681366,-1.458386173,-3.662760369,3.54037976,8.543053181,6.298246359,-5.788373906,7.038489255,-5.63315198,-5.865740257,-5.28803836
0.29,0.5748637562,0.2334873656,-1.112193209,-2.82885472,-0.470252219,3.759359384,0.861505896,-3.635572074,-4.168007635,3.948576227,-0.8878209768,5.415105995,0.09214024248,-1.168221329,0.03674889119,-1.495226065,-0.9261913747,0.08210743362,0.03967362833,1.677756226,-1.334084576,-3.294481349,3.061762105,8.056180856,5.838407795,-5.379555182,6.713112769,-5.220470699,-5.653744042,-4.972068787
0.3,0.6668949438,0.6894580899,-0.169403792,-2.728696421,-0.4584710987,3.226062544,0.9964007949,-3.952464484,-4.454437813,4.687368962,-1.041875627,6.127495911,0.8639345409,-0.8032006931,-0.2203922729,-0.9283322819,-0.7862402574,0.04720795155,0.02658279774,1.497236213,-1.200657372,-2.906424752,2.564763944,7.520957782,5.347376419,-4.94200301,6.351870192,-4.782684795,-5.414316166,-4.631981928
0.31,0.7298736969,1.115963216,0.7806883247,-2.565201765,-0.4362009809,2.615115489,1.115846415,-4.208465934,-4.672904313,5.370526184,-1.183677085,6.768352,1.627583006,-0.4307649541,-0.4754258085,-0.354058643,-0.640038857,0.01193369032,0.01331214686,1.306486948,-1.059017252,-2.500920177,2.052368878,6.940596207,4.827775658,-4.47805446,5.956691531,-4.321899528,-5.148618321,-4.269427391
0.32,0.7610564256,1.494775054,1.697126339,-2.342165662,-0.4039513661,1.941223506,1.217990743,-4.399632511,-4.820073876,5.989939334,-1.311557665,7.330192758,2.375885379,-0.05435241756,-0.7259128099,0.2230296149,-0.4887494138,-0.02343531129,-0.00004855452994,1.106811648,-0.9101330824,-2.080401967,1.52765294,6.318579282,4.282381581,-3.990187587,5.529688103,-3.840330759,-4.85793966,-3.886163768
0.33,0.7590846938,1.809704197,2.540404217,-2.064765052,-0.3624600675,1.220606942,1.301250021,-4.523019137,-4.893701061,6.538256447,-1.424013402,7.806459122,3.101786095,0.3225618974,-0.9694578504,0.7983448801,-0.333574616,-0.05861826231,-0.01340892747,0.8995745127,-0.7550232842,-1.647394596,0.993766128,5.658640166,3.714108059,-3.4810082,5.073141256,-3.340294296,-4.543690538,-3.484050099
0.34,0.7240443977,2.047291415,3.274169732,-1.739438739,-0.3126763319,0.4706107899,1.364333307,-4.57672494,-4.892662498,7.008969415,-1.519721735,8.191591049,3.798440808,0.6964983393,-1.20373189,1.367313635,-0.1757480386,-0.09333584887,-0.02667859523,0.6861914039,-0.5947488624,-1.204497512,0.4539134954,4.964739612,3.125991203,-2.953235945,4.589490179,-2.824194754,-4.207395675,-3.065036859
0.35,0.6574620233,2.197382863,3.86679154,-1.373737941,-0.2557391218,-0.2907128021,1.406262491,-4.559922538,-4.816974034,7.396491233,-1.597557069,8.481092417,4.459280928,1.064004748,-1.426494547,1.925412816,-0.01652433751,-0.1273124515,-0.03976779467,0.4681201743,-0.4304061502,-0.754369536,-0.08866409082,4.2410422,2.52117314,-2.409689774,4.081318872,-2.294513994,-3.850686757,-2.631156492
0.36,0.5622381475,2.253564035,4.292722756,-0.9761510176,-0.1929510588,-1.045039037,1.426387455,-4.472870786,-4.667790487,7.696222311,-1.656604004,8.671583519,5.07807555,1.421688325,-1.635615525,2.468205765,0.1428307252,-0.1602783335,-0.05258798342,0.246850706,-0.2631193092,-0.299712895,-0.6307094049,3.491891342,1.902885225,-1.853272895,3.551342336,-1.75379919,-3.475294515,-2.184513559
0.37,0.4425210781,2.213433897,4.533602234,-0.5559064445,-0.1257486211,-1.774211543,1.424396162,-4.316910787,-4.447388028,7.904605067,-1.696168107,8.760840518,5.648990207,1.766246957,-1.829094985,2.991377505,0.3010503431,-0.1919717819,-0.06505243885,0.02389473166,-0.09403263994,0.1567429958,-1.168968416,2.721783213,1.274430782,-1.286957256,3.002392072,-1.204650573,-3.083040332,-1.727274527
